Time,X(CH1),X(CH2),
Second,Volt,Volt,
-3.0000001e-01,-1.80000e+00,5.20000e+00,
-2.9992676e-01,-1.80000e+00,5.20000e+00,
-2.9985350e-01,-1.80000e+00,5.20000e+00,
-2.9978025e-01,-1.80000e+00,5.20000e+00,
-2.9970700e-01,-1.80000e+00,5.20000e+00,
-2.9963374e-01,-1.80000e+00,5.20000e+00,
-2.9956049e-01,-1.80000e+00,5.20000e+00,
-2.9948723e-01,-1.80000e+00,5.20000e+00,
-2.9941398e-01,-1.80000e+00,5.20000e+00,
-2.9934072e-01,-1.80000e+00,5.20000e+00,
-2.9926747e-01,-1.80000e+00,5.20000e+00,
-2.9919422e-01,-1.80000e+00,5.20000e+00,
-2.9912096e-01,-1.80000e+00,5.20000e+00,
-2.9904771e-01,-1.80000e+00,5.20000e+00,
-2.9897445e-01,-1.80000e+00,5.20000e+00,
-2.9890120e-01,-1.80000e+00,5.20000e+00,
-2.9882795e-01,-1.80000e+00,5.20000e+00,
-2.9875469e-01,-1.80000e+00,5.20000e+00,
-2.9868144e-01,-1.80000e+00,5.20000e+00,
-2.9860818e-01,-1.80000e+00,5.20000e+00,
-2.9853493e-01,-1.80000e+00,4.80000e+00,
-2.9846168e-01,-1.80000e+00,5.20000e+00,
-2.9838842e-01,-1.80000e+00,5.20000e+00,
-2.9831517e-01,-1.80000e+00,4.80000e+00,
-2.9824191e-01,-1.80000e+00,5.20000e+00,
-2.9816866e-01,-1.80000e+00,5.20000e+00,
-2.9809541e-01,-1.80000e+00,5.20000e+00,
-2.9802215e-01,-1.80000e+00,5.20000e+00,
-2.9794890e-01,-1.80000e+00,5.20000e+00,
-2.9787564e-01,-1.80000e+00,5.20000e+00,
-2.9780239e-01,-1.80000e+00,5.20000e+00,
-2.9772913e-01,-1.80000e+00,5.20000e+00,
-2.9765588e-01,-1.80000e+00,5.20000e+00,
-2.9758263e-01,-1.80000e+00,5.20000e+00,
-2.9750937e-01,-1.80000e+00,5.20000e+00,
-2.9743612e-01,-1.80000e+00,5.20000e+00,
-2.9736286e-01,-1.80000e+00,5.20000e+00,
-2.9728961e-01,-1.80000e+00,5.20000e+00,
-2.9721636e-01,-1.80000e+00,5.20000e+00,
-2.9714310e-01,-1.80000e+00,5.20000e+00,
-2.9706985e-01,-1.80000e+00,5.20000e+00,
-2.9699659e-01,-1.80000e+00,5.20000e+00,
-2.9692334e-01,-1.80000e+00,5.20000e+00,
-2.9685009e-01,-1.80000e+00,5.20000e+00,
-2.9677683e-01,-1.80000e+00,5.20000e+00,
-2.9670358e-01,-1.80000e+00,5.20000e+00,
-2.9663032e-01,-1.80000e+00,5.20000e+00,
-2.9655707e-01,-1.80000e+00,5.20000e+00,
-2.9648381e-01,-1.80000e+00,5.20000e+00,
-2.9641056e-01,-1.60000e+00,5.20000e+00,
-2.9633731e-01,-1.80000e+00,5.20000e+00,
-2.9626405e-01,-1.80000e+00,5.20000e+00,
-2.9619080e-01,-1.80000e+00,5.20000e+00,
-2.9611754e-01,-1.80000e+00,5.20000e+00,
-2.9604429e-01,-1.80000e+00,4.80000e+00,
-2.9597104e-01,-1.80000e+00,5.20000e+00,
-2.9589778e-01,-1.80000e+00,5.20000e+00,
-2.9582453e-01,-1.80000e+00,5.20000e+00,
-2.9575127e-01,-1.80000e+00,5.20000e+00,
-2.9567802e-01,-1.80000e+00,5.20000e+00,
-2.9560477e-01,-1.80000e+00,5.20000e+00,
-2.9553151e-01,-1.80000e+00,5.20000e+00,
-2.9545826e-01,-1.80000e+00,5.20000e+00,
-2.9538500e-01,-1.80000e+00,5.20000e+00,
-2.9531175e-01,-1.80000e+00,5.20000e+00,
-2.9523849e-01,-1.80000e+00,4.80000e+00,
-2.9516524e-01,-1.80000e+00,5.20000e+00,
-2.9509199e-01,-1.80000e+00,5.20000e+00,
-2.9501873e-01,-1.80000e+00,5.20000e+00,
-2.9494548e-01,-1.80000e+00,5.20000e+00,
-2.9487222e-01,-1.80000e+00,4.80000e+00,
-2.9479897e-01,-1.80000e+00,5.20000e+00,
-2.9472572e-01,-1.80000e+00,5.20000e+00,
-2.9465246e-01,-1.80000e+00,5.20000e+00,
-2.9457921e-01,-1.60000e+00,5.20000e+00,
-2.9450595e-01,-1.80000e+00,5.20000e+00,
-2.9443270e-01,-1.80000e+00,5.20000e+00,
-2.9435945e-01,-1.80000e+00,5.20000e+00,
-2.9428619e-01,-1.80000e+00,4.80000e+00,
-2.9421294e-01,-1.80000e+00,5.20000e+00,
-2.9413968e-01,-1.80000e+00,5.20000e+00,
-2.9406643e-01,-1.80000e+00,5.20000e+00,
-2.9399318e-01,-1.80000e+00,5.20000e+00,
-2.9391992e-01,-1.80000e+00,5.20000e+00,
-2.9384667e-01,-1.80000e+00,5.20000e+00,
-2.9377341e-01,-1.80000e+00,5.20000e+00,
-2.9370016e-01,-1.80000e+00,5.20000e+00,
-2.9362690e-01,-1.80000e+00,5.20000e+00,
-2.9355365e-01,-1.80000e+00,5.20000e+00,
-2.9348040e-01,-1.80000e+00,4.80000e+00,
-2.9340714e-01,-1.80000e+00,5.20000e+00,
-2.9333389e-01,-1.80000e+00,5.20000e+00,
-2.9326063e-01,-1.60000e+00,5.20000e+00,
-2.9318738e-01,-1.80000e+00,5.20000e+00,
-2.9311413e-01,-1.80000e+00,5.20000e+00,
-2.9304087e-01,-1.80000e+00,5.20000e+00,
-2.9296762e-01,-1.80000e+00,5.20000e+00,
-2.9289436e-01,-1.80000e+00,4.80000e+00,
-2.9282111e-01,-1.80000e+00,5.20000e+00,
-2.9274786e-01,-1.80000e+00,5.20000e+00,
-2.9267460e-01,-1.80000e+00,5.20000e+00,
-2.9260135e-01,-1.80000e+00,5.20000e+00,
-2.9252809e-01,-1.80000e+00,5.20000e+00,
-2.9245484e-01,-1.60000e+00,5.20000e+00,
-2.9238158e-01,-1.80000e+00,5.20000e+00,
-2.9230833e-01,-1.80000e+00,5.20000e+00,
-2.9223508e-01,-1.80000e+00,5.20000e+00,
-2.9216182e-01,-1.60000e+00,5.20000e+00,
-2.9208857e-01,-1.80000e+00,5.20000e+00,
-2.9201531e-01,-1.80000e+00,5.20000e+00,
-2.9194206e-01,-1.80000e+00,5.20000e+00,
-2.9186881e-01,-1.80000e+00,5.20000e+00,
-2.9179555e-01,-1.80000e+00,5.20000e+00,
-2.9172230e-01,-1.80000e+00,5.20000e+00,
-2.9164904e-01,-1.80000e+00,5.20000e+00,
-2.9157579e-01,-1.80000e+00,5.20000e+00,
-2.9150254e-01,-1.80000e+00,5.20000e+00,
-2.9142928e-01,-1.80000e+00,5.20000e+00,
-2.9135603e-01,-1.80000e+00,5.20000e+00,
-2.9128277e-01,-1.80000e+00,5.20000e+00,
-2.9120952e-01,-1.80000e+00,5.20000e+00,
-2.9113626e-01,-1.80000e+00,5.20000e+00,
-2.9106301e-01,-1.80000e+00,5.20000e+00,
