X,CH1,CH2,
Second,Volt,Volt,
1.09821e-03,2.48e+00,2.80e-01,
1.09821e-03,2.48e+00,2.80e-01,
1.09821e-03,2.48e+00,2.80e-01,
1.09821e-03,2.48e+00,2.80e-01,
1.09822e-03,2.48e+00,2.80e-01,
1.09822e-03,2.48e+00,2.80e-01,
1.09822e-03,2.48e+00,2.80e-01,
1.09822e-03,2.48e+00,2.80e-01,
1.09822e-03,2.48e+00,2.80e-01,
1.09823e-03,2.48e+00,2.80e-01,
1.09823e-03,2.48e+00,2.80e-01,
1.09823e-03,2.48e+00,2.80e-01,
1.09823e-03,2.48e+00,2.80e-01,
1.09823e-03,2.48e+00,2.80e-01,
1.09824e-03,2.48e+00,2.80e-01,
1.09824e-03,2.48e+00,2.80e-01,
1.09824e-03,2.48e+00,2.80e-01,
1.09824e-03,2.48e+00,2.80e-01,
1.09824e-03,2.48e+00,2.80e-01,
1.09825e-03,2.48e+00,2.80e-01,
1.09825e-03,2.48e+00,2.80e-01,
1.09825e-03,2.48e+00,2.80e-01,
1.09825e-03,2.48e+00,3.60e-01,
1.09825e-03,2.56e+00,4.40e-01,
1.09826e-03,2.56e+00,4.20e-01,
1.09826e-03,2.48e+00,4.00e-01,
1.09826e-03,2.48e+00,3.40e-01,
1.09826e-03,2.40e+00,2.60e-01,
1.09826e-03,2.48e+00,2.80e-01,
1.09827e-03,2.48e+00,2.60e-01,
1.09827e-03,2.64e+00,1.60e-01,
1.09827e-03,2.64e+00,-1.20e-01,
1.09827e-03,2.56e+00,-4.20e-01,
1.09827e-03,2.56e+00,-5.20e-01,
1.09828e-03,2.48e+00,-4.80e-01,
1.09828e-03,2.64e+00,-3.60e-01,
1.09828e-03,2.64e+00,-2.40e-01,
1.09828e-03,2.64e+00,-1.20e-01,
1.09828e-03,2.48e+00,1.40e-01,
1.09829e-03,2.48e+00,3.40e-01,
1.09829e-03,2.56e+00,4.00e-01,
1.09829e-03,2.56e+00,4.20e-01,
1.09829e-03,2.48e+00,4.20e-01,
1.09829e-03,2.48e+00,4.00e-01,
1.09830e-03,2.48e+00,3.00e-01,
1.09830e-03,2.48e+00,2.60e-01,
1.09830e-03,2.48e+00,2.60e-01,
1.09830e-03,2.56e+00,2.40e-01,
1.09830e-03,2.64e+00,4.00e-02,
1.09831e-03,2.64e+00,-2.80e-01,
1.09831e-03,2.64e+00,-4.80e-01,
1.09831e-03,2.56e+00,-5.20e-01,
1.09831e-03,2.48e+00,-4.40e-01,
1.09831e-03,2.64e+00,-3.00e-01,
1.09832e-03,2.72e+00,-2.40e-01,
1.09832e-03,2.64e+00,-2.00e-02,
1.09832e-03,2.48e+00,2.40e-01,
1.09832e-03,2.48e+00,3.60e-01,
1.09832e-03,2.56e+00,4.40e-01,
1.09833e-03,2.56e+00,4.20e-01,
1.09833e-03,2.56e+00,4.20e-01,
1.09833e-03,2.40e+00,3.60e-01,
1.09833e-03,2.48e+00,2.60e-01,
1.09833e-03,2.48e+00,2.80e-01,
1.09834e-03,2.48e+00,2.60e-01,
1.09834e-03,2.64e+00,1.80e-01,
1.09834e-03,2.56e+00,-6.00e-02,
1.09834e-03,2.64e+00,-4.00e-01,
1.09834e-03,2.56e+00,-5.20e-01,
1.09835e-03,2.56e+00,-5.00e-01,
1.09835e-03,2.64e+00,-3.80e-01,
1.09835e-03,2.64e+00,-2.80e-01,
1.09835e-03,2.64e+00,-1.60e-01,
1.09835e-03,2.56e+00,7.99e-02,
1.09836e-03,2.48e+00,3.20e-01,
1.09836e-03,2.56e+00,4.00e-01,
1.09836e-03,2.56e+00,4.40e-01,
1.09836e-03,2.56e+00,4.20e-01,
1.09836e-03,2.48e+00,4.20e-01,
1.09837e-03,2.48e+00,3.00e-01,
1.09837e-03,2.48e+00,2.40e-01,
1.09837e-03,2.56e+00,2.60e-01,
1.09837e-03,2.48e+00,2.40e-01,
1.09837e-03,2.56e+00,1.00e-01,
1.09838e-03,2.64e+00,-2.40e-01,
1.09838e-03,2.64e+00,-4.60e-01,
1.09838e-03,2.56e+00,-5.20e-01,
1.09838e-03,2.56e+00,-4.60e-01,
1.09838e-03,2.64e+00,-3.40e-01,
1.09839e-03,2.72e+00,-2.60e-01,
1.09839e-03,2.64e+00,-6.00e-02,
1.09839e-03,2.56e+00,2.20e-01,
1.09839e-03,2.48e+00,3.40e-01,
1.09839e-03,2.56e+00,4.20e-01,
1.09840e-03,2.64e+00,4.20e-01,
1.09840e-03,2.56e+00,4.20e-01,
1.09840e-03,2.48e+00,3.80e-01,
1.09840e-03,2.40e+00,2.60e-01,
1.09840e-03,2.48e+00,2.60e-01,
1.09841e-03,2.48e+00,2.80e-01,
1.09841e-03,2.64e+00,2.00e-01,
1.09841e-03,2.56e+00,0.00e+00,
1.09841e-03,2.64e+00,-3.40e-01,
1.09841e-03,2.64e+00,-5.20e-01,
1.09842e-03,2.56e+00,-5.20e-01,
1.09842e-03,2.64e+00,-4.00e-01,
1.09842e-03,2.56e+00,-3.00e-01,
1.09842e-03,2.64e+00,-1.80e-01,
1.09842e-03,2.56e+00,2.00e-02,
1.09843e-03,2.48e+00,2.80e-01,
1.09843e-03,2.56e+00,4.00e-01,
1.09843e-03,2.56e+00,4.40e-01,
1.09843e-03,2.56e+00,4.00e-01,
1.09843e-03,2.40e+00,4.20e-01,
1.09844e-03,2.48e+00,3.20e-01,
1.09844e-03,2.48e+00,2.60e-01,
1.09844e-03,2.56e+00,2.60e-01,
1.09844e-03,2.48e+00,2.60e-01,
1.09844e-03,2.56e+00,1.40e-01,
1.09845e-03,2.56e+00,-1.80e-01,
1.09845e-03,2.64e+00,-4.20e-01,
1.09845e-03,2.56e+00,-5.20e-01,
1.09845e-03,2.48e+00,-4.80e-01,
1.09845e-03,2.64e+00,-3.40e-01,
1.09846e-03,2.72e+00,-2.80e-01,
1.09846e-03,2.64e+00,-1.00e-01,
1.09846e-03,2.48e+00,1.40e-01,
1.09846e-03,2.48e+00,3.20e-01,
1.09846e-03,2.56e+00,4.20e-01,
1.09847e-03,2.64e+00,4.20e-01,
1.09847e-03,2.56e+00,4.20e-01,
1.09847e-03,2.48e+00,4.00e-01,
1.09847e-03,2.40e+00,3.00e-01,
1.09847e-03,2.48e+00,2.80e-01,
1.09848e-03,2.56e+00,2.60e-01,
1.09848e-03,2.56e+00,2.40e-01,
1.09848e-03,2.56e+00,4.00e-02,
1.09848e-03,2.64e+00,-3.00e-01,
1.09848e-03,2.64e+00,-4.60e-01,
1.09849e-03,2.56e+00,-5.20e-01,
1.09849e-03,2.64e+00,-4.00e-01,
1.09849e-03,2.56e+00,-3.00e-01,
1.09849e-03,2.64e+00,-2.20e-01,
1.09849e-03,2.56e+00,-2.00e-02,
1.09850e-03,2.48e+00,2.40e-01,
1.09850e-03,2.48e+00,4.00e-01,
1.09850e-03,2.56e+00,4.20e-01,
1.09850e-03,2.64e+00,4.20e-01,
1.09850e-03,2.56e+00,4.40e-01,
1.09851e-03,2.48e+00,3.40e-01,
1.09851e-03,2.48e+00,2.60e-01,
1.09851e-03,2.56e+00,2.60e-01,
1.09851e-03,2.48e+00,2.60e-01,
1.09851e-03,2.56e+00,1.80e-01,
1.09852e-03,2.56e+00,-1.40e-01,
1.09852e-03,2.64e+00,-3.80e-01,
1.09852e-03,2.56e+00,-5.20e-01,
1.09852e-03,2.56e+00,-4.80e-01,
1.09852e-03,2.56e+00,-3.60e-01,
1.09853e-03,2.72e+00,-2.80e-01,
1.09853e-03,2.64e+00,-1.40e-01,
1.09853e-03,2.56e+00,1.20e-01,
1.09853e-03,2.56e+00,3.00e-01,
1.09853e-03,2.56e+00,4.00e-01,
1.09854e-03,2.64e+00,4.20e-01,
1.09854e-03,2.56e+00,4.20e-01,
1.09854e-03,2.48e+00,4.00e-01,
1.09854e-03,2.40e+00,3.00e-01,
1.09854e-03,2.40e+00,2.60e-01,
1.09855e-03,2.56e+00,2.40e-01,
1.09855e-03,2.56e+00,2.60e-01,
1.09855e-03,2.56e+00,1.00e-01,
1.09855e-03,2.64e+00,-2.40e-01,
1.09855e-03,2.64e+00,-4.40e-01,
1.09856e-03,2.56e+00,-5.20e-01,
1.09856e-03,2.56e+00,-4.40e-01,
1.09856e-03,2.64e+00,-3.20e-01,
1.09856e-03,2.72e+00,-2.40e-01,
1.09856e-03,2.56e+00,-6.00e-02,
1.09857e-03,2.48e+00,2.00e-01,
1.09857e-03,2.56e+00,3.60e-01,
1.09857e-03,2.56e+00,4.20e-01,
1.09857e-03,2.56e+00,4.20e-01,
1.09857e-03,2.56e+00,4.40e-01,
1.09858e-03,2.48e+00,3.80e-01,
1.09858e-03,2.48e+00,2.60e-01,
1.09858e-03,2.48e+00,2.60e-01,
1.09858e-03,2.48e+00,2.60e-01,
1.09858e-03,2.56e+00,2.40e-01,
1.09859e-03,2.64e+00,-4.00e-02,
1.09859e-03,2.64e+00,-3.40e-01,
1.09859e-03,2.56e+00,-5.20e-01,
1.09859e-03,2.64e+00,-5.00e-01,
1.09859e-03,2.56e+00,-3.80e-01,
1.09860e-03,2.64e+00,-3.20e-01,
1.09860e-03,2.72e+00,-1.80e-01,
1.09860e-03,2.56e+00,6.00e-02,
1.09860e-03,2.48e+00,2.60e-01,
1.09860e-03,2.48e+00,4.00e-01,
1.09861e-03,2.64e+00,4.20e-01,
1.09861e-03,2.56e+00,4.20e-01,
1.09861e-03,2.40e+00,4.20e-01,
1.09861e-03,2.48e+00,3.20e-01,
1.09861e-03,2.48e+00,2.80e-01,
1.09862e-03,2.56e+00,2.40e-01,
1.09862e-03,2.56e+00,2.60e-01,
1.09862e-03,2.56e+00,1.40e-01,
1.09862e-03,2.64e+00,-1.80e-01,
1.09862e-03,2.64e+00,-4.20e-01,
1.09863e-03,2.56e+00,-5.40e-01,
1.09863e-03,2.56e+00,-4.40e-01,
1.09863e-03,2.64e+00,-3.40e-01,
1.09863e-03,2.72e+00,-2.60e-01,
1.09863e-03,2.64e+00,-1.00e-01,
1.09864e-03,2.56e+00,1.60e-01,
1.09864e-03,2.56e+00,3.40e-01,
1.09864e-03,2.56e+00,4.20e-01,
1.09864e-03,2.64e+00,4.00e-01,
1.09864e-03,2.56e+00,4.40e-01,
1.09865e-03,2.48e+00,3.80e-01,
1.09865e-03,2.48e+00,2.80e-01,
1.09865e-03,2.56e+00,2.60e-01,
1.09865e-03,2.48e+00,2.40e-01,
1.09865e-03,2.48e+00,2.60e-01,
1.09866e-03,2.64e+00,2.00e-02,
1.09866e-03,2.64e+00,-3.20e-01,
1.09866e-03,2.56e+00,-5.00e-01,
1.09866e-03,2.56e+00,-5.20e-01,
1.09866e-03,2.56e+00,-4.00e-01,
1.09867e-03,2.64e+00,-3.20e-01,
1.09867e-03,2.72e+00,-2.20e-01,
1.09867e-03,2.56e+00,2.00e-02,
1.09867e-03,2.48e+00,2.40e-01,
1.09867e-03,2.56e+00,3.80e-01,
1.09868e-03,2.64e+00,4.20e-01,
1.09868e-03,2.64e+00,4.20e-01,
1.09868e-03,2.56e+00,4.20e-01,
1.09868e-03,2.40e+00,3.40e-01,
1.09868e-03,2.40e+00,2.80e-01,
1.09869e-03,2.48e+00,2.40e-01,
1.09869e-03,2.56e+00,2.80e-01,
1.09869e-03,2.56e+00,1.80e-01,
1.09869e-03,2.56e+00,-1.00e-01,
1.09869e-03,2.64e+00,-3.80e-01,
1.09870e-03,2.56e+00,-5.40e-01,
1.09870e-03,2.64e+00,-4.80e-01,
1.09870e-03,2.56e+00,-3.60e-01,
1.09870e-03,2.72e+00,-2.80e-01,
1.09870e-03,2.64e+00,-1.20e-01,
1.09871e-03,2.56e+00,1.20e-01,
1.09871e-03,2.48e+00,3.20e-01,
1.09871e-03,2.56e+00,4.00e-01,
1.09871e-03,2.56e+00,4.20e-01,
1.09871e-03,2.56e+00,4.40e-01,
1.09872e-03,2.56e+00,3.80e-01,
1.09872e-03,2.48e+00,3.20e-01,
1.09872e-03,2.48e+00,2.60e-01,
1.09872e-03,2.48e+00,2.40e-01,
1.09872e-03,2.48e+00,2.80e-01,
1.09873e-03,2.56e+00,6.00e-02,
1.09873e-03,2.64e+00,-2.40e-01,
1.09873e-03,2.56e+00,-4.80e-01,
1.09873e-03,2.64e+00,-5.20e-01,
1.09873e-03,2.56e+00,-4.20e-01,
1.09874e-03,2.64e+00,-3.40e-01,
1.09874e-03,2.72e+00,-2.20e-01,
1.09874e-03,2.56e+00,-2.00e-02,
1.09874e-03,2.48e+00,2.00e-01,
1.09874e-03,2.40e+00,3.60e-01,
1.09875e-03,2.56e+00,4.20e-01,
1.09875e-03,2.56e+00,4.20e-01,
1.09875e-03,2.56e+00,4.20e-01,
1.09875e-03,2.40e+00,3.40e-01,
1.09875e-03,2.48e+00,3.00e-01,
1.09876e-03,2.48e+00,2.40e-01,
1.09876e-03,2.56e+00,2.80e-01,
1.09876e-03,2.56e+00,2.00e-01,
1.09876e-03,2.56e+00,-6.00e-02,
1.09876e-03,2.64e+00,-3.40e-01,
1.09877e-03,2.64e+00,-5.20e-01,
1.09877e-03,2.64e+00,-4.80e-01,
1.09877e-03,2.56e+00,-3.80e-01,
1.09877e-03,2.64e+00,-3.00e-01,
1.09877e-03,2.72e+00,-1.80e-01,
1.09878e-03,2.56e+00,7.99e-02,
1.09878e-03,2.48e+00,3.00e-01,
1.09878e-03,2.56e+00,4.00e-01,
1.09878e-03,2.64e+00,4.00e-01,
1.09878e-03,2.64e+00,4.40e-01,
1.09879e-03,2.48e+00,4.00e-01,
1.09879e-03,2.56e+00,3.20e-01,
1.09879e-03,2.56e+00,2.60e-01,
1.09879e-03,2.48e+00,2.40e-01,
1.09879e-03,2.56e+00,2.60e-01,
1.09880e-03,2.56e+00,1.00e-01,
1.09880e-03,2.64e+00,-2.20e-01,
1.09880e-03,2.56e+00,-4.60e-01,
1.09880e-03,2.64e+00,-5.40e-01,
1.09880e-03,2.64e+00,-4.40e-01,
1.09881e-03,2.64e+00,-3.60e-01,
1.09881e-03,2.72e+00,-2.40e-01,
1.09881e-03,2.56e+00,-4.00e-02,
1.09881e-03,2.48e+00,1.80e-01,
1.09881e-03,2.48e+00,3.60e-01,
1.09882e-03,2.56e+00,4.00e-01,
1.09882e-03,2.64e+00,4.20e-01,
1.09882e-03,2.56e+00,4.40e-01,
1.09882e-03,2.48e+00,3.60e-01,
1.09882e-03,2.40e+00,3.00e-01,
1.09883e-03,2.48e+00,2.40e-01,
1.09883e-03,2.56e+00,2.60e-01,
1.09883e-03,2.56e+00,2.20e-01,
1.09883e-03,2.64e+00,0.00e+00,
1.09883e-03,2.64e+00,-3.20e-01,
1.09884e-03,2.64e+00,-5.20e-01,
1.09884e-03,2.56e+00,-4.80e-01,
1.09884e-03,2.56e+00,-3.80e-01,
1.09884e-03,2.64e+00,-3.00e-01,
1.09884e-03,2.64e+00,-2.00e-01,
1.09885e-03,2.56e+00,2.00e-02,
1.09885e-03,2.48e+00,2.60e-01,
1.09885e-03,2.56e+00,3.80e-01,
1.09885e-03,2.64e+00,4.00e-01,
1.09885e-03,2.56e+00,4.40e-01,
1.09886e-03,2.56e+00,4.00e-01,
1.09886e-03,2.48e+00,3.20e-01,
1.09886e-03,2.48e+00,2.60e-01,
1.09886e-03,2.48e+00,2.40e-01,
1.09886e-03,2.48e+00,3.00e-01,
1.09887e-03,2.56e+00,1.60e-01,
1.09887e-03,2.56e+00,-1.40e-01,
1.09887e-03,2.56e+00,-4.20e-01,
1.09887e-03,2.64e+00,-5.40e-01,
1.09887e-03,2.56e+00,-4.60e-01,
1.09888e-03,2.64e+00,-3.80e-01,
1.09888e-03,2.72e+00,-2.80e-01,
1.09888e-03,2.56e+00,-1.00e-01,
1.09888e-03,2.48e+00,1.20e-01,
1.09888e-03,2.48e+00,3.20e-01,
1.09889e-03,2.56e+00,4.00e-01,
1.09889e-03,2.64e+00,4.20e-01,
1.09889e-03,2.56e+00,4.40e-01,
1.09889e-03,2.40e+00,3.80e-01,
1.09889e-03,2.48e+00,3.20e-01,
1.09890e-03,2.48e+00,2.40e-01,
1.09890e-03,2.56e+00,2.60e-01,
1.09890e-03,2.56e+00,2.40e-01,
1.09890e-03,2.56e+00,4.00e-02,
1.09890e-03,2.64e+00,-2.60e-01,
1.09891e-03,2.64e+00,-5.00e-01,
1.09891e-03,2.56e+00,-5.20e-01,
1.09891e-03,2.56e+00,-4.20e-01,
1.09891e-03,2.56e+00,-3.40e-01,
1.09891e-03,2.64e+00,-2.20e-01,
1.09892e-03,2.64e+00,0.00e+00,
1.09892e-03,2.48e+00,2.40e-01,
1.09892e-03,2.48e+00,3.80e-01,
1.09892e-03,2.56e+00,4.00e-01,
1.09892e-03,2.64e+00,4.40e-01,
1.09893e-03,2.48e+00,4.20e-01,
1.09893e-03,2.48e+00,3.40e-01,
1.09893e-03,2.40e+00,3.00e-01,
1.09893e-03,2.48e+00,2.40e-01,
1.09893e-03,2.48e+00,3.00e-01,
1.09894e-03,2.56e+00,1.60e-01,
1.09894e-03,2.64e+00,-1.00e-01,
