Time,X(CH1),X(CH2),
Second,Volt,Volt,
-1.8984401e-03,5.52000e-01,4.00000e-02,
-1.8984200e-03,5.52000e-01,4.00000e-02,
-1.8984000e-03,5.52000e-01,4.00000e-02,
-1.8983800e-03,5.52000e-01,4.00000e-02,
-1.8983600e-03,5.52000e-01,4.00000e-02,
-1.8983399e-03,5.52000e-01,4.00000e-02,
-1.8983199e-03,5.52000e-01,4.00000e-02,
-1.8982999e-03,5.52000e-01,4.00000e-02,
-1.8982799e-03,5.52000e-01,4.00000e-02,
-1.8982599e-03,5.52000e-01,4.00000e-02,
-1.8982398e-03,5.52000e-01,4.00000e-02,
-1.8982198e-03,5.52000e-01,4.00000e-02,
-1.8981998e-03,5.52000e-01,4.00000e-02,
-1.8981798e-03,5.52000e-01,4.00000e-02,
-1.8981597e-03,5.52000e-01,4.00000e-02,
-1.8981397e-03,5.52000e-01,4.00000e-02,
-1.8981197e-03,5.52000e-01,4.00000e-02,
-1.8980997e-03,5.52000e-01,4.00000e-02,
-1.8980796e-03,5.52000e-01,4.00000e-02,
-1.8980596e-03,5.52000e-01,4.00000e-02,
-1.8980396e-03,5.52000e-01,4.00000e-02,
-1.8980196e-03,5.52000e-01,4.00000e-02,
-1.8979996e-03,5.52000e-01,4.00000e-02,
-1.8979795e-03,5.52000e-01,4.00000e-02,
-1.8979595e-03,5.52000e-01,4.00000e-02,
-1.8979395e-03,5.52000e-01,4.00000e-02,
-1.8979195e-03,5.52000e-01,4.00000e-02,
-1.8978994e-03,5.52000e-01,4.00000e-02,
-1.8978794e-03,5.52000e-01,4.00000e-02,
-1.8978594e-03,5.52000e-01,4.00000e-02,
-1.8978394e-03,5.52000e-01,4.00000e-02,
-1.8978193e-03,5.52000e-01,4.00000e-02,
-1.8977993e-03,5.52000e-01,4.00000e-02,
-1.8977793e-03,5.52000e-01,4.00000e-02,
-1.8977593e-03,5.52000e-01,4.00000e-02,
-1.8977392e-03,5.52000e-01,4.00000e-02,
-1.8977192e-03,5.52000e-01,4.00000e-02,
-1.8976992e-03,5.52000e-01,4.00000e-02,
-1.8976792e-03,5.52000e-01,4.00000e-02,
-1.8976592e-03,5.52000e-01,4.00000e-02,
-1.8976391e-03,5.52000e-01,4.00000e-02,
-1.8976191e-03,5.52000e-01,4.00000e-02,
-1.8975991e-03,5.52000e-01,4.00000e-02,
-1.8975791e-03,5.52000e-01,4.00000e-02,
-1.8975590e-03,5.52000e-01,4.00000e-02,
-1.8975390e-03,5.52000e-01,4.00000e-02,
-1.8975190e-03,5.52000e-01,4.00000e-02,
-1.8974990e-03,5.52000e-01,4.00000e-02,
-1.8974789e-03,5.52000e-01,4.00000e-02,
-1.8974589e-03,5.52000e-01,4.00000e-02,
-1.8974389e-03,5.52000e-01,4.00000e-02,
-1.8974189e-03,5.52000e-01,4.00000e-02,
-1.8973988e-03,5.52000e-01,4.00000e-02,
-1.8973788e-03,5.52000e-01,4.00000e-02,
-1.8973588e-03,5.52000e-01,4.00000e-02,
-1.8973388e-03,5.52000e-01,4.00000e-02,
-1.8973188e-03,5.52000e-01,4.00000e-02,
-1.8972987e-03,5.52000e-01,4.00000e-02,
-1.8972787e-03,5.52000e-01,4.00000e-02,
-1.8972587e-03,5.52000e-01,4.00000e-02,
-1.8972387e-03,5.52000e-01,4.00000e-02,
-1.8972186e-03,5.52000e-01,4.00000e-02,
-1.8971986e-03,5.52000e-01,4.00000e-02,
-1.8971786e-03,5.52000e-01,4.00000e-02,
-1.8971586e-03,5.52000e-01,4.00000e-02,
-1.8971385e-03,5.52000e-01,4.00000e-02,
-1.8971185e-03,5.52000e-01,4.00000e-02,
-1.8970985e-03,5.52000e-01,4.00000e-02,
-1.8970785e-03,5.52000e-01,4.00000e-02,
-1.8970584e-03,5.52000e-01,4.00000e-02,
-1.8970384e-03,5.52000e-01,4.00000e-02,
-1.8970184e-03,5.52000e-01,4.00000e-02,
-1.8969984e-03,5.52000e-01,4.00000e-02,
-1.8969784e-03,5.52000e-01,4.00000e-02,
-1.8969583e-03,5.52000e-01,4.00000e-02,
-1.8969383e-03,5.52000e-01,4.00000e-02,
-1.8969183e-03,5.52000e-01,4.00000e-02,
-1.8968983e-03,5.52000e-01,4.00000e-02,
-1.8968782e-03,5.52000e-01,4.00000e-02,
-1.8968582e-03,5.52000e-01,4.00000e-02,
-1.8968382e-03,5.52000e-01,4.00000e-02,
-1.8968182e-03,5.52000e-01,4.00000e-02,
-1.8967981e-03,5.52000e-01,4.00000e-02,
-1.8967781e-03,5.52000e-01,4.00000e-02,
-1.8967581e-03,5.52000e-01,4.00000e-02,
-1.8967381e-03,5.52000e-01,4.00000e-02,
-1.8967181e-03,5.52000e-01,4.00000e-02,
-1.8966980e-03,5.52000e-01,4.00000e-02,
-1.8966780e-03,5.52000e-01,4.00000e-02,
-1.8966580e-03,5.52000e-01,4.00000e-02,
-1.8966380e-03,5.52000e-01,4.00000e-02,
-1.8966179e-03,5.52000e-01,4.00000e-02,
-1.8965979e-03,5.52000e-01,4.00000e-02,
-1.8965779e-03,5.52000e-01,4.00000e-02,
-1.8965579e-03,5.52000e-01,4.00000e-02,
-1.8965378e-03,5.52000e-01,4.00000e-02,
-1.8965178e-03,5.52000e-01,4.00000e-02,
-1.8964978e-03,5.52000e-01,4.00000e-02,
-1.8964778e-03,5.52000e-01,4.00000e-02,
-1.8964577e-03,5.52000e-01,4.00000e-02,
-1.8964377e-03,5.52000e-01,4.00000e-02,
-1.8964177e-03,5.52000e-01,4.00000e-02,
-1.8963977e-03,5.52000e-01,4.00000e-02,
-1.8963777e-03,5.52000e-01,4.00000e-02,
-1.8963576e-03,5.52000e-01,4.00000e-02,
-1.8963376e-03,5.52000e-01,4.00000e-02,
-1.8963176e-03,5.52000e-01,4.00000e-02,
-1.8962976e-03,5.52000e-01,4.00000e-02,
-1.8962775e-03,5.52000e-01,4.00000e-02,
-1.8962575e-03,5.52000e-01,4.00000e-02,
-1.8962375e-03,5.52000e-01,4.00000e-02,
-1.8962175e-03,5.52000e-01,4.00000e-02,
-1.8961974e-03,5.52000e-01,4.00000e-02,
-1.8961774e-03,5.52000e-01,4.00000e-02,
-1.8961574e-03,5.52000e-01,4.00000e-02,
-1.8961374e-03,5.52000e-01,4.00000e-02,
-1.8961173e-03,5.52000e-01,4.00000e-02,
-1.8960973e-03,5.52000e-01,4.00000e-02,
-1.8960773e-03,5.52000e-01,4.00000e-02,
-1.8960573e-03,5.52000e-01,4.00000e-02,
-1.8960373e-03,5.52000e-01,4.00000e-02,
-1.8960172e-03,5.52000e-01,4.00000e-02,
-1.8959972e-03,5.52000e-01,4.00000e-02,
-1.8959772e-03,5.52000e-01,8.00004e-02,
-1.8959572e-03,5.52000e-01,8.00004e-02,
-1.8959371e-03,5.44000e-01,8.00004e-02,
-1.8959171e-03,5.44000e-01,8.00004e-02,
-1.8958971e-03,5.36000e-01,1.20000e-01,
-1.8958771e-03,5.36000e-01,1.20000e-01,
-1.8958570e-03,5.36000e-01,1.20000e-01,
-1.8958370e-03,5.28000e-01,1.20000e-01,
-1.8958170e-03,5.28000e-01,1.60000e-01,
-1.8957970e-03,5.20000e-01,1.60000e-01,
-1.8957769e-03,5.20000e-01,1.60000e-01,
-1.8957569e-03,5.20000e-01,1.60000e-01,
-1.8957369e-03,5.12000e-01,1.60000e-01,
-1.8957169e-03,5.12000e-01,2.00000e-01,
-1.8956969e-03,5.04000e-01,2.00000e-01,
-1.8956768e-03,5.04000e-01,2.00000e-01,
-1.8956568e-03,5.04000e-01,2.00000e-01,
-1.8956368e-03,4.96000e-01,2.40000e-01,
-1.8956168e-03,4.96000e-01,2.40000e-01,
-1.8955967e-03,4.88000e-01,2.40000e-01,
-1.8955767e-03,4.88000e-01,2.40000e-01,
-1.8955567e-03,4.80000e-01,2.80000e-01,
-1.8955367e-03,4.80000e-01,2.80000e-01,
-1.8955166e-03,4.80000e-01,2.80000e-01,
-1.8954966e-03,4.72000e-01,2.80000e-01,
-1.8954766e-03,4.72000e-01,2.80000e-01,
-1.8954566e-03,4.64000e-01,3.20000e-01,
-1.8954366e-03,4.64000e-01,3.20000e-01,
-1.8954165e-03,4.64000e-01,3.20000e-01,
-1.8953965e-03,4.56000e-01,3.20000e-01,
-1.8953765e-03,4.56000e-01,3.60000e-01,
-1.8953565e-03,4.48000e-01,3.60000e-01,
-1.8953364e-03,4.48000e-01,3.60000e-01,
-1.8953164e-03,4.48000e-01,3.60000e-01,
-1.8952964e-03,4.40000e-01,4.00000e-01,
-1.8952764e-03,4.40000e-01,4.00000e-01,
-1.8952563e-03,4.32000e-01,4.00000e-01,
-1.8952363e-03,4.32000e-01,4.00000e-01,
-1.8952163e-03,4.32000e-01,4.00000e-01,
-1.8951963e-03,4.24000e-01,4.40000e-01,
-1.8951762e-03,4.24000e-01,4.40000e-01,
-1.8951562e-03,4.16000e-01,4.40000e-01,
-1.8951362e-03,4.16000e-01,4.40000e-01,
-1.8951162e-03,4.08000e-01,4.80000e-01,
-1.8950962e-03,4.08000e-01,4.80000e-01,
-1.8950761e-03,4.08000e-01,4.80000e-01,
-1.8950561e-03,4.00000e-01,4.80000e-01,
-1.8950361e-03,4.00000e-01,5.20000e-01,
-1.8950161e-03,3.92000e-01,5.20000e-01,
-1.8949960e-03,3.92000e-01,5.20000e-01,
-1.8949760e-03,3.92000e-01,5.20000e-01,
-1.8949560e-03,3.84000e-01,5.20000e-01,
-1.8949360e-03,3.84000e-01,5.60000e-01,
-1.8949159e-03,3.76000e-01,5.60000e-01,
-1.8948959e-03,3.76000e-01,5.60000e-01,
-1.8948759e-03,3.76000e-01,5.60000e-01,
-1.8948559e-03,3.68000e-01,6.00000e-01,
-1.8948358e-03,3.68000e-01,6.00000e-01,
-1.8948158e-03,3.60000e-01,6.00000e-01,
-1.8947958e-03,3.60000e-01,6.00000e-01,
-1.8947758e-03,3.52000e-01,6.40000e-01,
-1.8947558e-03,3.52000e-01,6.40000e-01,
-1.8947357e-03,3.52000e-01,6.40000e-01,
-1.8947157e-03,3.44000e-01,6.40000e-01,
-1.8946957e-03,3.44000e-01,6.40000e-01,
-1.8946757e-03,3.36000e-01,6.80000e-01,
-1.8946556e-03,3.36000e-01,6.80000e-01,
-1.8946356e-03,3.36000e-01,6.80000e-01,
-1.8946156e-03,3.28000e-01,6.80000e-01,
-1.8945956e-03,3.28000e-01,7.20000e-01,
-1.8945755e-03,3.20000e-01,7.20000e-01,
-1.8945555e-03,3.20000e-01,7.20000e-01,
