X,CH1,CH2,
Second,Volt,Volt,
2.13368e-04,2.64e+00,4.00e-01,
2.13370e-04,2.64e+00,4.00e-01,
2.13372e-04,2.64e+00,4.00e-01,
2.13374e-04,2.64e+00,4.00e-01,
2.13376e-04,2.64e+00,4.00e-01,
2.13378e-04,2.64e+00,4.00e-01,
2.13380e-04,2.64e+00,4.00e-01,
2.13382e-04,2.64e+00,4.00e-01,
2.13384e-04,2.64e+00,4.00e-01,
2.13386e-04,2.64e+00,4.00e-01,
2.13388e-04,2.64e+00,4.00e-01,
2.13390e-04,2.64e+00,4.00e-01,
2.13392e-04,2.64e+00,4.00e-01,
2.13394e-04,2.64e+00,4.00e-01,
2.13396e-04,2.64e+00,4.00e-01,
2.13398e-04,2.64e+00,4.00e-01,
2.13400e-04,2.64e+00,4.00e-01,
2.13402e-04,2.64e+00,4.00e-01,
2.13404e-04,2.64e+00,4.00e-01,
2.13406e-04,2.64e+00,4.00e-01,
2.13408e-04,2.64e+00,4.00e-01,
2.13410e-04,2.48e+00,4.20e-01,
2.13412e-04,2.48e+00,4.20e-01,
2.13414e-04,2.40e+00,3.40e-01,
2.13416e-04,2.40e+00,3.20e-01,
2.13418e-04,2.40e+00,3.00e-01,
2.13420e-04,2.48e+00,2.80e-01,
2.13422e-04,2.56e+00,1.40e-01,
2.13424e-04,2.64e+00,-1.80e-01,
2.13426e-04,2.56e+00,-3.80e-01,
2.13428e-04,2.48e+00,-5.00e-01,
2.13430e-04,2.56e+00,-4.40e-01,
2.13432e-04,2.64e+00,-3.80e-01,
2.13434e-04,2.72e+00,-3.00e-01,
2.13436e-04,2.64e+00,-2.00e-01,
2.13438e-04,2.56e+00,-7.99e-02,
2.13440e-04,2.48e+00,1.40e-01,
2.13442e-04,2.56e+00,3.40e-01,
2.13444e-04,2.56e+00,4.00e-01,
2.13446e-04,2.56e+00,4.20e-01,
2.13448e-04,2.48e+00,4.20e-01,
2.13450e-04,2.48e+00,3.60e-01,
2.13452e-04,2.48e+00,3.40e-01,
2.13454e-04,2.40e+00,2.80e-01,
2.13456e-04,2.32e+00,3.20e-01,
2.13458e-04,2.48e+00,1.80e-01,
2.13460e-04,2.64e+00,-1.00e-01,
2.13462e-04,2.56e+00,-3.60e-01,
2.13464e-04,2.56e+00,-4.60e-01,
2.13466e-04,2.56e+00,-4.20e-01,
2.13468e-04,2.64e+00,-4.20e-01,
2.13470e-04,2.80e+00,-3.20e-01,
2.13472e-04,2.64e+00,-2.00e-01,
2.13474e-04,2.48e+00,-1.00e-01,
2.13476e-04,2.48e+00,7.99e-02,
2.13478e-04,2.56e+00,3.00e-01,
2.13480e-04,2.64e+00,4.00e-01,
2.13482e-04,2.56e+00,4.40e-01,
2.13484e-04,2.48e+00,4.00e-01,
2.13486e-04,2.48e+00,4.00e-01,
2.13488e-04,2.48e+00,3.20e-01,
2.13490e-04,2.48e+00,2.80e-01,
2.13492e-04,2.48e+00,3.20e-01,
2.13494e-04,2.40e+00,2.40e-01,
2.13496e-04,2.64e+00,-2.00e-02,
2.13498e-04,2.64e+00,-3.40e-01,
