V, I
0,-1
6,-1
7.5,0
8.5,1
11,2
12,2
13,2
14,2
15,3
15.5,3
16,3
16.5,3
17,2
17.5,2
18,2
18.5,2
19,2
20,1
20.5,0
21,0
22,-1
22.5,-2
23,-1
24,0
25,1
26.5,4
28,7
29,9
30,11
31,13
32,16
33,17
34,19
35,20
35.5,21
36,20
36.5,20
37,19
37.5,18
38,16
38.5,13
39,13
39.5,12
40,12
40.5,12
41,12
42,14
43,16
44,20
45,26
46,36
47,44
48,53
49,62
50,70
51,79
52,87
53,94
54,99
54.5,101
55,104
55.5,105
56,107
56.5,111
57,113
57.5,116
58,120
58.5,123
59,128
59.5,130
60,137
61,148
62,165
63,177
64.5,202
65,226
67,266
68.5,310
70.5,383
71.5,400
