analyser,voltage,analyser_corr,voltage_corr
294,23,358,0.8
296,22,356,0.3
298,28,354,0.2
300,36,352,0.8
304,69,348,1.6
308,114,344,4.9
320,353,332,9.4
330,628,322,33.3
340,941,312,60.8
350,1269,302,92.1
0,1550,292,124.9
10,1758,282,153
20,1878,272,173.8
22,1890,270,185.8
24,1894,268,187
26,1893,266,187.4
28,1890,264,187.3
30,1884,262,187
40,1776,252,186.4
50,1575,242,175.6
60,1293,232,155.5
70,981,222,127.3
80,650,212,96.1
90,375,202,63
100,156,192,35.5
110,44,182,13.6
112,32,180,2.4
114,27,178,0.7
116,27,176,0.7
118,29,174,0.9
120,38,172,1.8
122,53,170,3.3
124,65,168,4.5
126,81,166,6.1
128,112,164,9.2
130,142,162,12.2
132,181,160,16.1
134,207,158,18.7
136,260,156,24
138,292,154,27.2
140,355,152,33.5
150,649,142,62.9
160,956,132,93.6
170,1265,122,124.5
180,1562,112,154.2
190,1759,102,173.9
192,1801,100,178.1
194,1822,98,180.2
196,1844,96,182.4
198,1867,94,184.7
200,1878,92,185.8
202,1887,90,186.7
204,1890,88,187
206,1887,86,186.7
208,1885,84,186.5
210,1872,82,185.2
212,1859,80,183.9
214,1840,78,182
216,1817,76,179.7
218,1791,74,177.1
220,1762,72,177.1
230,1554,62,174.2
240,1267,52,153.4
250,954,42,124.7
260,638,32,93.4
270,341,22,61.8
280,139,12,32.1
282,111,10,11.9
284,84,8,9.1
286,68,6,6.4
288,46,4,4.8
290,38,2,2.6
292,28,0,1.8
