analyser,voltage,analyser_corr,voltage_corr
300,1036,352,100.8
310,1058,342,102.9
320,1075,332,105.1
330,1076,322,106.8
340,1062,312,106.9
350,1031,302,105.5
352,1025,300,102.4
354,1018,298,101.8
356,1011,296,101.1
358,999,294,100.4
360,987,292,99.2
4,970,288,98
8,950,284,96.3
12,931,280,94.3
16,910,276,92.4
24,878,268,90.3
30,850,262,87.1
40,817,252,84.3
50,898,242,81
60,896,232,80.1
70,810,222,79.9
80,841,212,80.3
90,880,202,83.4
100,930,192,87.3
110,976,182,92.3
112,985,180,96.9
114,992,178,98.5
116,1002,176,99.5
118,1014,174,100.7
120,1019,172,101.2
122,1025,170,101.8
124,1031,168,102.4
126,1039,166,103.2
128,1044,164,103.7
130,1049,162,104.2
132,1051,160,104.4
134,1054,158,104.7
140,1061,152,105.4
146,1061,146,105.4
152,1056,140,104.9
158,1045,134,103.8
164,1027,128,102
170,1008,122,100.1
180,968,112,96.1
190,920,102,91.3
200,874,92,86.7
210,838,82,83.1
220,809,72,80.2
230,797,62,79
240,802,52,79.5
250,821,42,81.4
260,854,32,84.7
264,872,28,86.5
268,890,24,88.3
272,908,20,90.1
276,928,16,92.1
282,957,10,95
288,984,4,97.7
294,1015,2,100.8
